header,path,section,title,href,folder,name,Rebrand
How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Impact,How-to guides\Gain insights\Monitor applications\Usage\,Impact,../application-insights/app-insights-usage-impact.md,../application-insights/,app-insights-usage-impact.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Retention,How-to guides\Gain insights\Monitor applications\Usage\,Retention,../application-insights/app-insights-usage-retention.md,../application-insights/,app-insights-usage-retention.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Usage\User Flows,How-to guides\Gain insights\Monitor applications\Usage\,User Flows,../application-insights/app-insights-usage-flows.md,../application-insights/,app-insights-usage-flows.md,
How-to guides,How-to guides\Gain insights\Monitor applications\Usage\Workbooks,How-to guides\Gain insights\Monitor applications\Usage\,Workbooks,../application-insights/app-insights-usage-workbooks.md,../application-insights/,app-insights-usage-workbooks.md,
Quickstarts,Quickstarts\Virtual machines\Collect - Linux computer,Quickstarts\Virtual machines\,Collect - Linux computer,learn/quick-collect-linux-computer.md,learn/,quick-collect-linux-computer.md,
Quickstarts,Quickstarts\Virtual machines\Collect - Windows computer,Quickstarts\Virtual machines\,Collect - Windows computer,learn/quick-collect-windows-computer.md,learn/,quick-collect-windows-computer.md,
How-to guides,How-to guides\Plan and prepare\Manage workspaces\Create a workspace\Use Azure CLI,How-to guides\Plan and prepare\Manage workspaces\Create a workspace\,Use Azure CLI,learn/quick-create-workspace-cli.md,learn/,quick-create-workspace-cli.md,
How-to guides,How-to guides\Plan and prepare\Manage workspaces\Create a workspace\Use Azure PowerShell,How-to guides\Plan and prepare\Manage workspaces\Create a workspace\,Use Azure PowerShell,learn/quick-create-workspace-posh.md,learn/,quick-create-workspace-posh.md,
Tutorials,Tutorials\Visualize data in Log Analytics,Tutorials\,Visualize data in Log Analytics,learn/tutorial-logs-dashboards.md,learn/,tutorial-logs-dashboards.md,
Tutorials,Tutorials\Alert on log data,Tutorials\,Alert on log data,learn/tutorial-response.md,learn/,tutorial-response.md,
Tutorials,Tutorials\Analyze data in Log Analytics,Tutorials\,Analyze data in Log Analytics,learn/tutorial-viewdata.md,learn/,tutorial-viewdata.md,
How-to guides,How-to guides\Analyze data\Query log data\Lessons\Advanced aggregations,How-to guides\Analyze data\Query log data\Lessons\,Advanced aggregations,log-query/advanced-aggregations.md,log-query/,advanced-aggregations.md,
How-to guides,How-to guides\Analyze data\Query log data\Lessons\Advanced query writing,How-to guides\Analyze data\Query log data\Lessons\,Advanced query writing,log-query/advanced-query-writing.md,log-query/,advanced-query-writing.md,
How-to guides,How-to guides\Gain insights\Monitor containers\Monitor Docker applications,How-to guides\Gain insights\Monitor containers\,Monitor Docker applications,../application-insights/app-insights-docker.md,../application-insights/,app-insights-docker.md,
How-to guides,How-to guides\Gain insights\Monitor resource groups,How-to guides\Gain insights\,Monitor resource groups,../monitoring-and-diagnostics/resource-group-insights.md,../monitoring-and-diagnostics/,resource-group-insights.md,
How-to guides,How-to guides\Analyze data\Query log data\Lessons\Aggregation functions,How-to guides\Analyze data\Query log data\Lessons\,Aggregation functions,log-query/aggregations.md,log-query/,aggregations.md,
How-to guides,How-to guides\Analyze data\Query log data\Query language\app expression,How-to guides\Analyze data\Query log data\Query language\,app expression,log-query/app-expression.md,log-query/,app-expression.md,
How-to guides,How-to guides\Analyze data\Query log data\Lessons\Charts and diagrams,How-to guides\Analyze data\Query log data\Lessons\,Charts and diagrams,log-query/charts.md,log-query/,charts.md,
How-to guides,How-to guides\Analyze data\Query log data\Query language\Cross-resource searches,How-to guides\Analyze data\Query log data\Query language\,Cross-resource searches,log-query/cross-workspace-query.md,log-query/,cross-workspace-query.md,
How-to guides,How-to guides\Analyze data\Query log data\Language differences,How-to guides\Analyze data\Query log data\,Language differences,log-query/data-explorer-difference.md,log-query/,data-explorer-difference.md,
How-to guides,How-to guides\Analyze data\Query log data\Lessons\Date and time operations,How-to guides\Analyze data\Query log data\Lessons\,Date and time operations,log-query/datetime-operations.md,log-query/,datetime-operations.md,
How-to guides,How-to guides\Analyze data\Query log data\Query language\Examples,How-to guides\Analyze data\Query log data\Query language\,Examples,log-query/examples.md,log-query/,examples.md,
How-to guides,How-to guides\Analyze data\Query log data\Lessons\Functions,How-to guides\Analyze data\Query log data\Lessons\,Functions,log-query/functions.md,log-query/,functions.md,
How-to guides,How-to guides\Analyze data\Query log data\Get started\Get started with Analytics portal,How-to guides\Analyze data\Query log data\Get started\,Get started with Analytics portal,log-query/get-started-portal.md,log-query/,get-started-portal.md,
How-to guides,How-to guides\Analyze data\Query log data\Get started\Get started with queries,How-to guides\Analyze data\Query log data\Get started\,Get started with queries,log-query/get-started-queries.md,log-query/,get-started-queries.md,
How-to guides,How-to guides\Analyze data\Query log data\Lessons\Joins,How-to guides\Analyze data\Query log data\Lessons\,Joins,log-query/joins.md,log-query/,joins.md,
How-to guides,How-to guides\Analyze data\Query log data\Lessons\JSON and data structures,How-to guides\Analyze data\Query log data\Lessons\,JSON and data structures,log-query/json-data-structures.md,log-query/,json-data-structures.md,
Concepts,Concepts\Analyze data\Log Analytics,Concepts\Analyze data\,Log Analytics,log-query/log-query-overview.md,log-query/,log-query-overview.md,
How-to guides,How-to guides\Analyze data\Query log data\Log data\Parse text data,How-to guides\Analyze data\Query log data\Log data\,Parse text data,log-query/parse-text.md,log-query/,parse-text.md,
Concepts,Concepts\Analyze data\Log query portals,Concepts\Analyze data\,Log query portals,log-query/portals.md,log-query/,portals.md,
How-to guides,How-to guides\Analyze data\Query log data\Query language Documentation,How-to guides\Analyze data\Query log data\,Query language Documentation,log-query/query-language.md,log-query/,query-language.md,
How-to guides,How-to guides\Analyze data\Query log data\Get started\Search queries,How-to guides\Analyze data\Query log data\Get started\,Search queries,log-query/search-queries.md,log-query/,search-queries.md,
How-to guides,How-to guides\Analyze data\Query log data\Cheatsheets\Splunk,How-to guides\Analyze data\Query log data\Cheatsheets\,Splunk,log-query/splunk-cheatsheet.md,log-query/,splunk-cheatsheet.md,
How-to guides,How-to guides\Analyze data\Query log data\Cheatsheets\SQL,How-to guides\Analyze data\Query log data\Cheatsheets\,SQL,log-query/sql-cheatsheet.md,log-query/,sql-cheatsheet.md,
How-to guides,How-to guides\Analyze data\Query log data\Lessons\String operations,How-to guides\Analyze data\Query log data\Lessons\,String operations,log-query/string-operations.md,log-query/,string-operations.md,
How-to guides,How-to guides\Analyze data\Query log data\Take action from search results,How-to guides\Analyze data\Query log data\,Take action from search results,log-query/take-action.md,log-query/,take-action.md,
How-to guides,How-to guides\Analyze data\Query log data\Get started\Useful operators,How-to guides\Analyze data\Query log data\Get started\,Useful operators,log-query/useful-operators.md,log-query/,useful-operators.md,
How-to guides,How-to guides\Analyze data\Query log data\Query language\workspace expression,How-to guides\Analyze data\Query log data\Query language\,workspace expression,log-query/workspace-expression.md,log-query/,workspace-expression.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use action groups with alerts\Implement a Logic App action,How-to guides\Respond to incidents\Alerts\Use action groups with alerts\,Implement a Logic App action,platform/action-groups-logic-app.md,platform/,action-groups-logic-app.md,
Concepts,Concepts\Respond to incidents\Activity log alerts,Concepts\Respond to incidents\,Activity log alerts,platform/activity-log-alerts.md  ,platform/,platform/activity-log-alerts.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use action groups with alerts\Learn about the webhook schema,How-to guides\Respond to incidents\Alerts\Use action groups with alerts\,Learn about the webhook schema,platform/activity-log-alerts-webhook.md,platform/,activity-log-alerts-webhook.md,
How-to guides,How-to guides\Gain insights\Monitor Azure resources\Service Fabric Analytics,How-to guides\Gain insights\Monitor Azure resources\,Service Fabric Analytics,../service-fabric/service-fabric-diagnostics-oms-agent.md,../service-fabric/,service-fabric-diagnostics-oms-agent.md,
How-to guides,How-to guides\Collect data\Agent data sources\Overview,How-to guides\Collect data\Agent data sources\,Overview,platform/agent-data-sources.md,platform/,agent-data-sources.md,
How-to guides,How-to guides\Collect data\Install and configure agents\Troubleshoot\Log Analytics Linux agent,How-to guides\Collect data\Install and configure agents\Troubleshoot\,Log Analytics Linux agent,platform/agent-linux-troubleshoot.md,platform/,agent-linux-troubleshoot.md,
How-to guides,How-to guides\Collect data\Install and configure agents\Log Analytics agents\Agent management,How-to guides\Collect data\Install and configure agents\Log Analytics agents\,Agent management,platform/agent-manage.md,platform/,agent-manage.md,
How-to guides,How-to guides\Collect data\Install and configure agents\Monitoring agents overview,How-to guides\Collect data\Install and configure agents\,Monitoring agents overview,platform/agents-overview.md,platform/,agents-overview.md,
How-to guides,How-to guides\Collect data\Install and configure agents\Log Analytics agents\Windows agents,How-to guides\Collect data\Install and configure agents\Log Analytics agents\,Windows agents,platform/agent-windows.md,platform/,agent-windows.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Alerts from Operations Manager,How-to guides\Respond to incidents\Alerts\,Alerts from Operations Manager,platform/alert-management-solution.md,platform/,alert-management-solution.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use activity log alerts\Configure alerts on an activity log event,How-to guides\Respond to incidents\Alerts\Use activity log alerts\,Configure alerts on an activity log event,platform/alerts-activity-log.md,platform/,alerts-activity-log.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use activity log alerts\Configure alerts on service notifications,How-to guides\Respond to incidents\Alerts\Use activity log alerts\,Configure alerts on service notifications,platform/alerts-activity-log-service-notifications.md,platform/,alerts-activity-log-service-notifications.md,
How-to guides,How-to guides\Respond to incidents\Service notifications\Configure alerts on service notifications,How-to guides\Respond to incidents\Service notifications\,Configure alerts on service notifications,platform/alerts-activity-log-service-notifications.md,platform/,alerts-activity-log-service-notifications.md,
How-to guides,"How-to guides\Respond to incidents\Alerts\Use metric alerts\Create, view and manage classic metric alerts in Azure Monitor",How-to guides\Respond to incidents\Alerts\Use metric alerts\,"Create, view and manage classic metric alerts in Azure Monitor",platform/alerts-classic-portal.md,platform/,alerts-classic-portal.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use metric alerts\Alerts with dynamic thresholds,How-to guides\Respond to incidents\Alerts\Use metric alerts\,Alerts with dynamic thresholds,platform/alerts-dynamic-thresholds.md,platform/,alerts-dynamic-thresholds.md,
Reference,Reference\Feature and API Retirement\Extend alerts from Log Analytics to Azure,Reference\Feature and API Retirement\,Extend alerts from Log Analytics to Azure,platform/alerts-extend.md,platform/,alerts-extend.md,
Reference,Reference\Feature and API Retirement\Copy alerts from OMS portal to Azure portal,Reference\Feature and API Retirement\,Copy alerts from OMS portal to Azure portal,platform/alerts-extend-tool.md,platform/,alerts-extend-tool.md,
How-to guides,How-to guides\Visualize data\Dashboards\Applications,How-to guides\Visualize data\Dashboards\,Applications,../application-insights/app-insights-dashboards.md,../application-insights/,app-insights-dashboards.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use log alerts\Configure alerts on analytics query,How-to guides\Respond to incidents\Alerts\Use log alerts\,Configure alerts on analytics query,platform/alerts-log.md,platform/,alerts-log.md,
How-to guides,How-to guides\Visualize data\Power BI\Export application data,How-to guides\Visualize data\Power BI\,Export application data,../application-insights/app-insights-export-power-bi.md,../application-insights/,app-insights-export-power-bi.md,
How-to guides,How-to guides\Visualize data\Send data to Grafana,How-to guides\Visualize data\,Send data to Grafana,../monitoring-and-diagnostics/monitor-send-to-grafana.md,../monitoring-and-diagnostics/,monitor-send-to-grafana.md,
How-to guides,How-to guides\Analyze data\Create metrics charts in Metrics Explorer,How-to guides\Analyze data\,Create metrics charts in Metrics Explorer,../monitoring-and-diagnostics/monitoring-metric-charts.md,../monitoring-and-diagnostics/,monitoring-metric-charts.md,
How-to guides,How-to guides\Analyze data\View events in activity log,How-to guides\Analyze data\,View events in activity log,../azure-resource-manager/resource-group-audit.md,../azure-resource-manager/,resource-group-audit.md,
How-to guides,How-to guides\Analyze data\View service notifications,How-to guides\Analyze data\,View service notifications,../monitoring-and-diagnostics/monitoring-service-notifications.md,../monitoring-and-diagnostics/,monitoring-service-notifications.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use log alerts\Webhook actions for log alerts,How-to guides\Respond to incidents\Alerts\Use log alerts\,Webhook actions for log alerts,platform/alerts-log-webhook.md,platform/,alerts-log-webhook.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Manage alerts\Manage alert instances,How-to guides\Respond to incidents\Alerts\Manage alerts\,Manage alert instances,platform/alerts-managing-alert-instances.md,platform/,alerts-managing-alert-instances.md,
How-to guides,"How-to guides\Respond to incidents\Alerts\Use metric alerts\Create, view and manage metric alerts in Azure Monitor",How-to guides\Respond to incidents\Alerts\Use metric alerts\,"Create, view and manage metric alerts in Azure Monitor",platform/alerts-metric.md,platform/,alerts-metric.md,
Concepts,Concepts\Respond to incidents\Metric alerts,Concepts\Respond to incidents\,Metric alerts,platform/alerts-metric-overview.md,platform/,alerts-metric-overview.md,
Concepts,Concepts\Respond to incidents\Log alerts,Concepts\Respond to incidents\,Log alerts,platform/alerts-unified-log.md,platform/,alerts-unified-log.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use metric alerts\Have a classic metric alert call a webhook,How-to guides\Respond to incidents\Alerts\Use metric alerts\,Have a classic metric alert call a webhook,platform/alerts-webhooks.md,platform/,alerts-webhooks.md,
How-to guides,How-to guides\Automate\API\Alert API,How-to guides\Automate\API\,Alert API,platform/api-alerts.md,platform/,api-alerts.md,
How-to guides,How-to guides\Collect data\Route data\Application data to Log Analytics,How-to guides\Collect data\Route data\,Application data to Log Analytics,platform/app-insights-connector.md,platform/,app-insights-connector.md,
How-to guides,How-to guides\Respond to incidents\Autoscale\Best practices,How-to guides\Respond to incidents\Autoscale\,Best practices,platform/autoscale-best-practices.md,platform/,autoscale-best-practices.md,
How-to guides,How-to guides\Respond to incidents\Autoscale\Common metrics,How-to guides\Respond to incidents\Autoscale\,Common metrics,platform/autoscale-common-metrics.md,platform/,autoscale-common-metrics.md,
How-to guides,How-to guides\Respond to incidents\Autoscale\Autoscale VM scale sets using Resource Manager templates,How-to guides\Respond to incidents\Autoscale\,Autoscale VM scale sets using Resource Manager templates,platform/autoscale-virtual-machine-scale-sets.md,platform/,autoscale-virtual-machine-scale-sets.md,
How-to guides,How-to guides\Respond to incidents\Autoscale\Configure webhooks and email notifications on autoscale,How-to guides\Respond to incidents\Autoscale\,Configure webhooks and email notifications on autoscale,platform/autoscale-webhook-email.md,platform/,autoscale-webhook-email.md,
How-to guides,How-to guides\Collect data\Azure resources\Diagnostic or log data from Azure storage,How-to guides\Collect data\Azure resources\,Diagnostic or log data from Azure storage,platform/azure-storage-iis-table.md,platform/,azure-storage-iis-table.md,
How-to guides,How-to guides\Automate\Azure CLI samples,How-to guides\Automate\,Azure CLI samples,platform/cli-samples.md,platform/,cli-samples.md,
How-to guides,How-to guides\Collect data\Azure resources\Azure activity logs\Analytics,How-to guides\Collect data\Azure resources\Azure activity logs\,Analytics,platform/collect-activity-logs.md,platform/,collect-activity-logs.md,
How-to guides,How-to guides\Collect data\Azure resources\Azure activity logs\Collect across subscriptions,How-to guides\Collect data\Azure resources\Azure activity logs\,Collect across subscriptions,platform/collect-activity-logs-subscriptions.md,platform/,collect-activity-logs-subscriptions.md,
How-to guides,How-to guides\Collect data\Azure resources\Service logs and metrics,How-to guides\Collect data\Azure resources\,Service logs and metrics,platform/collect-azure-metrics-logs.md,platform/,collect-azure-metrics-logs.md,
How-to guides,How-to guides\Collect data\Azure resources\Azure PaaS resources,How-to guides\Collect data\Azure resources\,Azure PaaS resources,platform/collect-azurepass-posh.md,platform/,collect-azurepass-posh.md,
How-to guides,How-to guides\Collect data\System Center\Configuration Manager,How-to guides\Collect data\System Center\,Configuration Manager,platform/collect-sccm.md,platform/,collect-sccm.md,
How-to guides,How-to guides\Analyze data\Query log data\Computer groups,How-to guides\Analyze data\Query log data\,Computer groups,platform/computer-groups.md,platform/,computer-groups.md,
How-to guides,How-to guides\Collect data\Collect custom data\Log Analytics Data Collector API Pipeline example,How-to guides\Collect data\Collect custom data\,Log Analytics Data Collector API Pipeline example,platform/create-pipeline-datacollector-api.md,platform/,create-pipeline-datacollector-api.md,
How-to guides,How-to guides\Analyze data\Query log data\Log data\Application data,How-to guides\Analyze data\Query log data\Log data\,Application data,../application-insights/app-insights-analytics.md,../application-insights/,app-insights-analytics.md,
How-to guides,How-to guides\Collect data\Agent data sources\Custom fields,How-to guides\Collect data\Agent data sources\,Custom fields,platform/custom-fields.md,platform/,custom-fields.md,
How-to guides,How-to guides\Visualize data\Dashboards\Logs,How-to guides\Visualize data\Dashboards\,Logs,platform/dashboards.md,platform/,dashboards.md,
Concepts,Concepts\Monitoring data\Metrics and logs,Concepts\Monitoring data\,Metrics and logs,platform/data-collection.md,platform/,data-collection.md,
How-to guides,How-to guides\Collect data\Collect custom data\Log Analytics Data collector API,How-to guides\Collect data\Collect custom data\,Log Analytics Data collector API,platform/data-collector-api.md,platform/,data-collector-api.md,
Concepts,Concepts\Monitoring data\Data security\Log data,Concepts\Monitoring data\Data security\,Log data,platform/data-security.md,platform/,data-security.md,
Concepts,Concepts\Monitoring data\Data sources,Concepts\Monitoring data\,Data sources,platform/data-sources.md,platform/,data-sources.md,Yes
How-to guides,How-to guides\Collect data\Agent data sources\Nagios and Zabbix alerts,How-to guides\Collect data\Agent data sources\,Nagios and Zabbix alerts,platform/data-sources-alerts-nagios-zabbix.md,platform/,data-sources-alerts-nagios-zabbix.md,Yes
How-to guides,How-to guides\Collect data\Agent data sources\CollectD performance data,How-to guides\Collect data\Agent data sources\,CollectD performance data,platform/data-sources-collectd.md,platform/,data-sources-collectd.md,Yes
How-to guides,How-to guides\Respond to incidents\Alerts\Use metric alerts\Configure metric alerts on logs,How-to guides\Respond to incidents\Alerts\Use metric alerts\,Configure metric alerts on logs,../monitoring-and-diagnostics/monitoring-metric-alerts-logs.md,../monitoring-and-diagnostics/,monitoring-metric-alerts-logs.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use metric alerts\Create a newer metric alert with a Resource Manager template,How-to guides\Respond to incidents\Alerts\Use metric alerts\,Create a newer metric alert with a Resource Manager template,../monitoring-and-diagnostics/monitoring-create-metric-alerts-with-templates.md,../monitoring-and-diagnostics/,monitoring-create-metric-alerts-with-templates.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use metric alerts\Create a classic metric alert with a Resource Manager template,How-to guides\Respond to incidents\Alerts\Use metric alerts\,Create a classic metric alert with a Resource Manager template,../monitoring-and-diagnostics/monitoring-enable-alerts-using-template.md,../monitoring-and-diagnostics/,monitoring-enable-alerts-using-template.md,
How-to guides,How-to guides\Collect data\Agent data sources\Custom logs,How-to guides\Collect data\Agent data sources\,Custom logs,platform/data-sources-custom-logs.md,platform/,data-sources-custom-logs.md,Yes
How-to guides,How-to guides\Collect data\Agent data sources\IIS logs,How-to guides\Collect data\Agent data sources\,IIS logs,platform/data-sources-iis-logs.md,platform/,data-sources-iis-logs.md,Yes
How-to guides,How-to guides\Collect data\Agent data sources\Custom JSON data,How-to guides\Collect data\Agent data sources\,Custom JSON data,platform/data-sources-json.md,platform/,data-sources-json.md,Yes
How-to guides,How-to guides\Respond to incidents\Alerts\Use log alerts\Troubleshooting log alerts,How-to guides\Respond to incidents\Alerts\Use log alerts\,Troubleshooting log alerts,../monitoring-and-diagnostics/alert-log-troubleshoot.md,../monitoring-and-diagnostics/,alert-log-troubleshoot.md,
How-to guides,How-to guides\Collect data\Agent data sources\Linux application performance,How-to guides\Collect data\Agent data sources\,Linux application performance,platform/data-sources-linux-applications.md,platform/,data-sources-linux-applications.md,Yes
How-to guides,How-to guides\Respond to incidents\Alerts\Use activity log alerts\Migrate to activity log alerts,How-to guides\Respond to incidents\Alerts\Use activity log alerts\,Migrate to activity log alerts,../monitoring-and-diagnostics/monitoring-migrate-management-alerts.md,../monitoring-and-diagnostics/,monitoring-migrate-management-alerts.md,
How-to guides,How-to guides\Collect data\Agent data sources\Performance counters,How-to guides\Collect data\Agent data sources\,Performance counters,platform/data-sources-performance-counters.md,platform/,data-sources-performance-counters.md,Yes
How-to guides,How-to guides\Respond to incidents\Alerts\Use application alerts\Availability,How-to guides\Respond to incidents\Alerts\Use application alerts\,Availability,../application-insights/app-insights-monitor-web-app-availability.md,../application-insights/,app-insights-monitor-web-app-availability.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use application alerts\Metric alerts,How-to guides\Respond to incidents\Alerts\Use application alerts\,Metric alerts,../application-insights/app-insights-alerts.md,../application-insights/,app-insights-alerts.md,
How-to guides,How-to guides\Collect data\Agent data sources\Syslog,How-to guides\Collect data\Agent data sources\,Syslog,platform/data-sources-syslog.md,platform/,data-sources-syslog.md,Yes
How-to guides,How-to guides\Collect data\Agent data sources\Windows events,How-to guides\Collect data\Agent data sources\,Windows events,platform/data-sources-windows-events.md,platform/,data-sources-windows-events.md,Yes
How-to guides,How-to guides\Respond to incidents\Alerts\Use action groups with alerts\SMS alert behavior,How-to guides\Respond to incidents\Alerts\Use action groups with alerts\,SMS alert behavior,../monitoring-and-diagnostics/monitoring-sms-alert-behavior.md,../monitoring-and-diagnostics/,monitoring-sms-alert-behavior.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use action groups with alerts\Alert rate limiting,How-to guides\Respond to incidents\Alerts\Use action groups with alerts\,Alert rate limiting,../monitoring-and-diagnostics/monitoring-alerts-rate-limiting.md,../monitoring-and-diagnostics/,monitoring-alerts-rate-limiting.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Use action groups with alerts\Create action groups with Resource Manager,How-to guides\Respond to incidents\Alerts\Use action groups with alerts\,Create action groups with Resource Manager,../monitoring-and-diagnostics/monitoring-create-action-group-with-resource-manager-template.md,../monitoring-and-diagnostics/,monitoring-create-action-group-with-resource-manager-template.md,
How-to guides,How-to guides\Manage usage and cost\Log data monitor usage,How-to guides\Manage usage and cost\,Log data monitor usage,platform/data-usage.md,platform/,data-usage.md,
How-to guides,How-to guides\Plan and prepare\Manage workspaces\Delete a workspace,How-to guides\Plan and prepare\Manage workspaces\,Delete a workspace,platform/delete-workspace.md,platform/,delete-workspace.md,
How-to guides,How-to guides\Collect data\Install and configure agents\Azure Diagnostics extension\Overview,How-to guides\Collect data\Install and configure agents\Azure Diagnostics extension\,Overview,platform/diagnostics-extension-overview.md,platform/,diagnostics-extension-overview.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Manage alerts\Manage smart groups,How-to guides\Respond to incidents\Alerts\Manage alerts\,Manage smart groups,../monitoring-and-diagnostics/monitoring-alerts-managing-smart-groups.md,../monitoring-and-diagnostics/,monitoring-alerts-managing-smart-groups.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Manage alerts\Manage alert and smart group states,How-to guides\Respond to incidents\Alerts\Manage alerts\,Manage alert and smart group states,../monitoring-and-diagnostics/monitoring-alerts-managing-alert-states.md,../monitoring-and-diagnostics/,monitoring-alerts-managing-alert-states.md,
How-to guides,How-to guides\Respond to incidents\Alerts\Manage alerts\Manage alerts from other monitoring services,How-to guides\Respond to incidents\Alerts\Manage alerts\,Manage alerts from other monitoring services,../monitoring-and-diagnostics/monitoring-alerts-managing-nagios-zabbix-scom.md,../monitoring-and-diagnostics/,monitoring-alerts-managing-nagios-zabbix-scom.md,
How-to guides,How-to guides\Respond to incidents\Autoscale\Walkthrough of autoscale,How-to guides\Respond to incidents\Autoscale\,Walkthrough of autoscale,../monitoring-and-diagnostics/monitoring-autoscale-get-started.md,../monitoring-and-diagnostics/,monitoring-autoscale-get-started.md,
How-to guides,How-to guides\Respond to incidents\Autoscale\Understand Autoscale settings,How-to guides\Respond to incidents\Autoscale\,Understand Autoscale settings,../monitoring-and-diagnostics/monitoring-understanding-autoscale-settings.md,../monitoring-and-diagnostics/,monitoring-understanding-autoscale-settings.md,
Reference,Reference\Schemas\Azure Diagnostics extension schema,Reference\Schemas\,Azure Diagnostics extension schema,platform/diagnostics-extension-schema.md,platform/,diagnostics-extension-schema.md,
Reference,Reference\Schemas\Azure Diagnostics extension schema\1.0,Reference\Schemas\Azure Diagnostics extension schema\,1,platform/diagnostics-extension-schema-1dot0.md,platform/,diagnostics-extension-schema-1dot0.md,
How-to guides,How-to guides\Respond to incidents\Autoscale\Common patterns,How-to guides\Respond to incidents\Autoscale\,Common patterns,../monitoring-and-diagnostics/monitoring-autoscale-common-scale-patterns.md,../monitoring-and-diagnostics/,monitoring-autoscale-common-scale-patterns.md,
How-to guides,How-to guides\Respond to incidents\Autoscale\Autoscale using a custom metric,How-to guides\Respond to incidents\Autoscale\,Autoscale using a custom metric,../monitoring-and-diagnostics/monitoring-autoscale-scale-by-custom-metric.md,../monitoring-and-diagnostics/,monitoring-autoscale-scale-by-custom-metric.md,
Reference,Reference\Schemas\Azure Diagnostics extension schema\1.2,Reference\Schemas\Azure Diagnostics extension schema\,1.2,platform/diagnostics-extension-schema-1dot2.md,platform/,diagnostics-extension-schema-1dot2.md,
How-to guides,How-to guides\Respond to incidents\Autoscale\Automatically scale machines in a VM scale set,How-to guides\Respond to incidents\Autoscale\,Automatically scale machines in a VM scale set,../virtual-machine-scale-sets/virtual-machine-scale-sets-windows-autoscale.md,../virtual-machine-scale-sets/,virtual-machine-scale-sets-windows-autoscale.md,
Reference,Reference\Schemas\Azure Diagnostics extension schema\1.3 and later,Reference\Schemas\Azure Diagnostics extension schema\,1.3 and later,platform/diagnostics-extension-schema-1dot3.md,platform/,diagnostics-extension-schema-1dot3.md,
How-to guides,How-to guides\Respond to incidents\Service notifications\View service notifications,How-to guides\Respond to incidents\Service notifications\,View service notifications,../monitoring-and-diagnostics/monitoring-service-notifications.md,../monitoring-and-diagnostics/,monitoring-service-notifications.md,
How-to guides,How-to guides\Collect data\Install and configure agents\Azure Diagnostics extension\Send to Event Hubs,How-to guides\Collect data\Install and configure agents\Azure Diagnostics extension\,Send to Event Hubs,platform/diagnostics-extension-stream-event-hubs.md,platform/,diagnostics-extension-stream-event-hubs.md,
How-to guides,How-to guides\Collect data\Install and configure agents\Azure Diagnostics extension\Send to Application Insights,How-to guides\Collect data\Install and configure agents\Azure Diagnostics extension\,Send to Application Insights,platform/diagnostics-extension-to-application-insights.md,platform/,diagnostics-extension-to-application-insights.md,
How-to guides,How-to guides\Collect data\Install and configure agents\Azure Diagnostics extension\Send to Azure Storage,How-to guides\Collect data\Install and configure agents\Azure Diagnostics extension\,Send to Azure Storage,platform/diagnostics-extension-to-storage.md,platform/,diagnostics-extension-to-storage.md,
How-to guides,How-to guides\Collect data\Install and configure agents\Azure Diagnostics extension\Troubleshooting,How-to guides\Collect data\Install and configure agents\Azure Diagnostics extension\,Troubleshooting,platform/diagnostics-extension-troubleshooting.md,platform/,diagnostics-extension-troubleshooting.md,
How-to guides,How-to guides\Manage usage and cost\Usage and estimated costs,How-to guides\Manage usage and cost\,Usage and estimated costs,../monitoring-and-diagnostics/monitoring-usage-and-estimated-costs.md,../monitoring-and-diagnostics/,monitoring-usage-and-estimated-costs.md,
How-to guides,How-to guides\Manage usage and cost\Application data volume and retention,How-to guides\Manage usage and cost\,Application data volume and retention,../application-insights/app-insights-pricing.md,../application-insights/,app-insights-pricing.md,
How-to guides,How-to guides\Manage usage and cost\Application enterprise plan details,How-to guides\Manage usage and cost\,Application enterprise plan details,../application-insights/app-insights-pricing-enterprise-details.md,../application-insights/,app-insights-pricing-enterprise-details.md,
How-to guides,How-to guides\Analyze data\Query log data\Flow connector,How-to guides\Analyze data\Query log data\,Flow connector,platform/flow-tutorial.md,platform/,flow-tutorial.md,
How-to guides,How-to guides\Collect data\Install and configure agents\Log Analytics agents\OMS Gateway,How-to guides\Collect data\Install and configure agents\Log Analytics agents\,OMS Gateway,platform/gateway.md,platform/,gateway.md,
