header,path,section,title,href,folder,name,Rebrand
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor,How-to guides\Collect data\Configure applications\ASP.NET apps\,Status Monitor,../application-insights/app-insights-monitor-performance-live-website-now.md,../application-insights/,app-insights-monitor-performance-live-website-now.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Windows services,How-to guides\Collect data\Configure applications\ASP.NET apps\,Windows services,../application-insights/app-insights-windows-services.md,../application-insights/,app-insights-windows-services.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Windows desktop,How-to guides\Collect data\Configure applications\ASP.NET apps\,Windows desktop,../application-insights/app-insights-windows-desktop.md,../application-insights/,app-insights-windows-desktop.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\ASP.NET Core,How-to guides\Collect data\Configure applications\ASP.NET apps\,ASP.NET Core,../application-insights/app-insights-asp-net-core.md,../application-insights/,app-insights-asp-net-core.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\ASP.NET Core\Profiler for Linux App services,How-to guides\Collect data\Configure applications\ASP.NET apps\ASP.NET Core\,Profiler for Linux App services,../application-insights/app-insights-profiler-aspnetcore-linux.md,../application-insights/,app-insights-profiler-aspnetcore-linux.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Console,How-to guides\Collect data\Configure applications\ASP.NET apps\,Console,../application-insights/application-insights-console.md,../application-insights/,application-insights-console.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Application dashboard,How-to guides\Collect data\Configure applications\ASP.NET apps\,Application dashboard,../application-insights/app-insights-overview-dashboard.md,../application-insights/,app-insights-overview-dashboard.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Collect more telemetry,How-to guides\Collect data\Configure applications\ASP.NET apps\,Collect more telemetry,../application-insights/app-insights-asp-net-more.md,../application-insights/,app-insights-asp-net-more.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Exceptions,How-to guides\Collect data\Configure applications\ASP.NET apps\,Exceptions,../application-insights/app-insights-asp-net-exceptions.md,../application-insights/,app-insights-asp-net-exceptions.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Log traces,How-to guides\Collect data\Configure applications\ASP.NET apps\,Log traces,../application-insights/app-insights-asp-net-trace-logs.md,../application-insights/,app-insights-asp-net-trace-logs.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Performance counters,How-to guides\Collect data\Configure applications\ASP.NET apps\,Performance counters,../application-insights/app-insights-performance-counters.md,../application-insights/,app-insights-performance-counters.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Dependencies,How-to guides\Collect data\Configure applications\ASP.NET apps\,Dependencies,../application-insights/app-insights-asp-net-dependencies.md,../application-insights/,app-insights-asp-net-dependencies.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Release annotations,How-to guides\Collect data\Configure applications\ASP.NET apps\,Release annotations,../application-insights/app-insights-annotations.md,../application-insights/,app-insights-annotations.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\ApplicationInsights.config,How-to guides\Collect data\Configure applications\ASP.NET apps\,ApplicationInsights.config,../application-insights/app-insights-configuration-with-applicationinsights-config.md,../application-insights/,app-insights-configuration-with-applicationinsights-config.md,
How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Snapshot Debugger,How-to guides\Collect data\Configure applications\ASP.NET apps\,Snapshot Debugger,../application-insights/app-insights-snapshot-debugger.md,../application-insights/,app-insights-snapshot-debugger.md,
How-to guides,How-to guides\Collect data\Configure applications\Java apps\Web apps,How-to guides\Collect data\Configure applications\Java apps\,Web apps,../application-insights/app-insights-java-get-started.md,../application-insights/,app-insights-java-get-started.md,
How-to guides,How-to guides\Collect data\Configure applications\Java apps\Web apps - runtime,How-to guides\Collect data\Configure applications\Java apps\,Web apps - runtime,../application-insights/app-insights-java-live.md,../application-insights/,app-insights-java-live.md,
How-to guides,How-to guides\Collect data\Configure applications\Java apps\Docker apps,How-to guides\Collect data\Configure applications\Java apps\,Docker apps,../application-insights/app-insights-docker.md,../application-insights/,app-insights-docker.md,
How-to guides,How-to guides\Collect data\Configure applications\Java apps\Log traces,How-to guides\Collect data\Configure applications\Java apps\,Log traces,../application-insights/app-insights-java-trace-logs.md,../application-insights/,app-insights-java-trace-logs.md,
How-to guides,How-to guides\Collect data\Configure applications\Java apps\Unix metrics,How-to guides\Collect data\Configure applications\Java apps\,Unix metrics,../application-insights/app-insights-java-collectd.md,../application-insights/,app-insights-java-collectd.md,
How-to guides,How-to guides\Collect data\Configure applications\Java apps\Dependencies,How-to guides\Collect data\Configure applications\Java apps\,Dependencies,../application-insights/app-insights-java-agent.md,../application-insights/,app-insights-java-agent.md,
How-to guides,How-to guides\Collect data\Configure applications\Java apps\Filter telemetry,How-to guides\Collect data\Configure applications\Java apps\,Filter telemetry,../application-insights/app-insights-java-filter-telemetry.md,../application-insights/,app-insights-java-filter-telemetry.md,
How-to guides,How-to guides\Collect data\Configure applications\Java apps\Micrometer Metrics,How-to guides\Collect data\Configure applications\Java apps\,Micrometer Metrics,../application-insights/micrometer-java.md,../application-insights/,micrometer-java.md,
How-to guides,How-to guides\Collect data\Configure applications\Node.js apps\Node.js,How-to guides\Collect data\Configure applications\Node.js apps\,Node.js,../application-insights/app-insights-nodejs.md,../application-insights/,app-insights-nodejs.md,
How-to guides,How-to guides\Collect data\Configure applications\Web pages\JavaScript,How-to guides\Collect data\Configure applications\Web pages\,JavaScript,../application-insights/app-insights-javascript.md,../application-insights/,app-insights-javascript.md,
How-to guides,How-to guides\Collect data\Configure applications\Monitor Azure Functions,How-to guides\Collect data\Configure applications\,Monitor Azure Functions,../azure-functions/functions-monitoring.md,../azure-functions/,functions-monitoring.md,
How-to guides,How-to guides\Collect data\Configure applications\Distributed tracing\Local forwarder,How-to guides\Collect data\Configure applications\Distributed tracing\,Local forwarder,../application-insights/opencensus-local-forwarder.md,../application-insights/,opencensus-local-forwarder.md,
How-to guides,How-to guides\Collect data\Configure applications\Distributed tracing\Python,How-to guides\Collect data\Configure applications\Distributed tracing\,Python,../application-insights/opencensus-python.md,../application-insights/,opencensus-python.md,
How-to guides,How-to guides\Collect data\Configure applications\Distributed tracing\Go,How-to guides\Collect data\Configure applications\Distributed tracing\,Go,../application-insights/opencensus-go.md,../application-insights/,opencensus-go.md,
How-to guides,How-to guides\Collect data\Configure applications\Other platforms\SharePoint sites,How-to guides\Collect data\Configure applications\Other platforms\,SharePoint sites,../application-insights/app-insights-sharepoint.md,../application-insights/,app-insights-sharepoint.md,
How-to guides,How-to guides\Collect data\Configure applications\Other platforms\Dynamics CRM,How-to guides\Collect data\Configure applications\Other platforms\,Dynamics CRM,../application-insights/app-insights-sample-mscrm.md,../application-insights/,app-insights-sample-mscrm.md,
How-to guides,How-to guides\Collect data\Configure applications\Other platforms\More platforms,How-to guides\Collect data\Configure applications\Other platforms\,More platforms,../application-insights/app-insights-platforms.md,../application-insights/,app-insights-platforms.md,
How-to guides,How-to guides\Collect data\Configure applications\Smart Detection,How-to guides\Collect data\Configure applications\,Smart Detection,../application-insights/app-insights-proactive-diagnostics.md,../application-insights/,app-insights-proactive-diagnostics.md,
How-to guides,How-to guides\Collect data\Configure applications\Smart Detection\Failure anomalies,How-to guides\Collect data\Configure applications\Smart Detection\,Failure anomalies,../application-insights/app-insights-proactive-failure-diagnostics.md,../application-insights/,app-insights-proactive-failure-diagnostics.md,
How-to guides,How-to guides\Collect data\Configure applications\Smart Detection\Performance anomalies,How-to guides\Collect data\Configure applications\Smart Detection\,Performance anomalies,../application-insights/app-insights-proactive-performance-diagnostics.md,../application-insights/,app-insights-proactive-performance-diagnostics.md,
How-to guides,How-to guides\Collect data\Configure applications\Smart Detection\Trace degradation,How-to guides\Collect data\Configure applications\Smart Detection\,Trace degradation,../application-insights/app-insights-proactive-trace-severity.md,../application-insights/,app-insights-proactive-trace-severity.md,
How-to guides,How-to guides\Collect data\Configure applications\Smart Detection\Exception volume,How-to guides\Collect data\Configure applications\Smart Detection\,Exception volume,../application-insights/app-insights-proactive-exception-volume.md,../application-insights/,app-insights-proactive-exception-volume.md,
