Number,Title,User,FileName,Include,Comment,Category,
116266,Avs quota request,shortpatti,articles/azure-monitor/samples/resource-manager-action-groups.md,Yes,New article,Alerts,
116437,Azure Monitor ARM tweak,bwren,articles/azure-monitor/samples/resource-manager-samples.md,No,New article,,
116460,Added Troubleshooting,yossi-y,articles/azure-monitor/learn/quick-create-workspace.md,Yes,Added troubleshooting section.,Logs,
116461,Added Troubleshooting,yossi-y,articles/azure-monitor/learn/quick-create-workspace-cli.md,Yes,Added troubleshooting section.,Logs,
116462,Added Troubleshooting,yossi-y,articles/azure-monitor/platform/powershell-workspace-configuration.md,Yes,Added troubleshooting section.,Logs,
116696,new article for usage and cost,MGoedtel,articles/azure-monitor/insights/container-insights-cost.md,Yes,New article,Containers,
116806,Azure Monitor VM Insights agent update,bwren,articles/azure-monitor/insights/vminsights-enable-overview.md,Yes,Added to supported versions of Ubuntu Server. Added supported regions for Log Analytics workspace.,,
116812,updated firewall config tables,MGoedtel,articles/azure-monitor/insights/container-insights-onboard.md,Yes,Updated firewall configuration table.,Containers,
117175,App Insights Node.js update,lgayhardt,articles/azure-monitor/app/nodejs.md,Yes,General updates including new section on migration from prior versions.,Application Insights,
117239,Added limits,yossi-y,articles/azure-monitor/platform/logicapp-flow-connector.md,Yes,Added limits section.,,
