filename,foldername,path,fullpath,tocheader,tocfolder,tocname,tocpath,title,description,services,documentationcenter,author,manager,editor,ms.assetid,ms.service,ms.workload,ms.tgt_pltfrm,ms.devlang,ms.topic,Type,ms.date,ms.author,ms.component
azure-storage-iis-table.md,platform,platform,platform\azure-storage-iis-table.md,How-to guides,How-to guides\Collect data\Azure resources\Diagnostic logs,How-to guides,How-to guides\Collect data\Azure resources\Diagnostic logs\Service logs and metrics,Use blob storage for IIS and table storage for events in Azure Monitor | Microsoft Docs,Azure Monitor can read the logs for Azure services that write diagnostics to table storage or IIS logs written to blob storage.,log-analytics,'',mgoedtel,carmonm,'',bf444752-ecc1-4306-9489-c29cb37d6045,log-analytics,na,na,,conceptual,conceptual,4/12/2017,magoedte,
diagnostic-logs-stream-event-hubs.md,platform,platform,platform\diagnostic-logs-stream-event-hubs.md,How-to guides,How-to guides\Collect data\Azure resources\Diagnostic logs,How-to guides,How-to guides\Collect data\Azure resources\Diagnostic logs\Stream data to Event Hubs,Stream Azure Diagnostic Logs to an event hub,Learn how to stream Azure diagnostic logs to an event hub.,azure-monitor,,johnkemnetz,,,,azure-monitor,,,,conceptual,conceptual,7/25/2018,johnkem,
stream-monitoring-data-event-hubs.md,platform,platform,platform\stream-monitoring-data-event-hubs.md,How-to guides,How-to guides\Collect data\Azure resources,How-to guides,How-to guides\Collect data\Azure resources\Stream to Event Hubs,Stream Azure monitoring data to Event Hubs,Learn how to stream your Azure monitoring data to an event hub to get the data into a partner SIEM or analytics tool.,azure-monitor,,nkiest,,,,azure-monitor,,,,conceptual,conceptual,11/1/2018,nikiest,
service-notifications.md,platform,platform,platform\service-notifications.md,How-to guides,How-to guides\Collect data\Azure resources,How-to guides,How-to guides\Collect data\Azure resources\View service notifications,View service health notifications by using the Azure portal,Service health notifications allow you to view service health messages published by Microsoft Azure.,monitoring,,dkamstra,,,,azure-monitor,,,,conceptual,conceptual,4/12/2018,dukek,
metrics-custom-overview.md,platform,platform,platform\metrics-custom-overview.md,How-to guides,How-to guides\Collect data\Collect custom data,How-to guides,How-to guides\Collect data\Collect custom data\Custom metrics,Custom metrics in Azure Monitor,Learn about custom metrics in Azure Monitor and how they are modeled.,azure-monitor,,ancav,,,,azure-monitor,,,,conceptual,conceptual,9/24/2018,ancav,
collect-custom-metrics-linux-telegraf.md,platform,platform,platform\collect-custom-metrics-linux-telegraf.md,How-to guides,How-to guides\Collect data\Collect custom data,How-to guides,How-to guides\Collect data\Collect custom data\GuestOS to Metrics Linux VM (Telegraf),Collect custom metrics for a Linux VM with the InfluxData Telegraf agent,Collect custom metrics for a Linux VM with the InfluxData Telegraf agent,azure-monitor,,anirudhcavale,,,,azure-monitor,,,,conceptual,conceptual,9/24/2018,ancav,
data-collector-api.md,platform,platform,platform\data-collector-api.md,How-to guides,How-to guides\Collect data\Collect custom data,How-to guides,How-to guides\Collect data\Collect custom data\Log Analytics Data collector API,Azure Monitor HTTP Data Collector API | Microsoft Docs,"You can use the Azure Monitor HTTP Data Collector API to add POST JSON data to a Log Analytics workspace from any client that can call the REST API. This article describes how to use the API, and has examples of how to publish data by using different programming languages.",log-analytics,'',bwren,jwhit,'',a831fd90-3f55-423b-8b20-ccbaaac2ca75,log-analytics,na,na,,conceptual,conceptual,4/2/2019,bwren,
create-pipeline-datacollector-api.md,platform,platform,platform\create-pipeline-datacollector-api.md,How-to guides,How-to guides\Collect data\Collect custom data,How-to guides,How-to guides\Collect data\Collect custom data\Log Analytics Data Collector API Pipeline example,Create a data pipeline with the Azure Monitor Data Collector API | Microsoft Docs,You can use the Azure Monitor HTTP Data Collector API to add POST JSON data to the Log Analytics workspace from any client that can call the REST API. This article describes how to upload data stored in files in an automated way.,log-analytics,'',mgoedtel,carmonm,'',,log-analytics,na,na,,conceptual,conceptual,8/9/2018,magoedte,
metrics-store-custom-rest-api.md,platform,platform,platform\metrics-store-custom-rest-api.md,How-to guides,How-to guides\Collect data\Collect custom data,How-to guides,How-to guides\Collect data\Collect custom data\Metrics REST API,Send custom metrics for an Azure resource to the Azure Monitor metric store by using a REST API,Send custom metrics for an Azure resource to the Azure Monitor metric store by using a REST API,azure-monitor,,anirudhcavale,,,,azure-monitor,,,,conceptual,conceptual,9/24/2018,ancav,
app-insights-connector.md,platform,platform,platform\app-insights-connector.md,How-to guides,How-to guides\Collect data\Configure applications,How-to guides,How-to guides\Collect data\Configure applications\Application data to Log Analytics,View Azure Application Insights app data | Microsoft Docs,You can use the Application Insights Connector solution to diagnose performance issues and understand what users do with your app when monitored with Application Insights.,log-analytics,'',mgoedtel,carmonm,'',49280cad-3526-43e1-a365-c6a3bf66db52,log-analytics,na,na,,conceptual,conceptual,2/13/2019,magoedte,
overview-dashboard.md,app,app,app\overview-dashboard.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Application dashboard,Azure Application Insights Overview Dashboard | Microsoft Docs,Monitor applications with Azure Application Insights and Overview Dashboard functionality.,application-insights,'',mrbullwinkle,carmonm,,ea2a28ed-4cd9-4006-bd5a-d4c76f4ec20b,application-insights,tbd,ibiza,,conceptual,conceptual,6/3/2019,mbullwin,
configuration-with-applicationinsights-config.md,app,app,app\configuration-with-applicationinsights-config.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\ApplicationInsights.config,ApplicationInsights.config reference - Azure | Microsoft Docs,"Enable or disable data collection modules, and add performance counters and other parameters.",application-insights,'',mrbullwinkle,carmonm,,6e397752-c086-46e9-8648-a1196e8078c2,application-insights,tbd,ibiza,,conceptual,conceptual,5/22/2019,mbullwin,
asp-net-more.md,app,app,app\asp-net-more.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Collect more telemetry,Get more out of Azure Application Insights | Microsoft Docs,"After getting started with Application Insights, here's a summary of the features you can explore.",application-insights,.net,mrbullwinkle,carmonm,,7ec10a2d-c669-448d-8d45-b486ee32c8db,application-insights,tbd,ibiza,,conceptual,conceptual,2/3/2017,mbullwin,
console.md,app,app,app\console.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Console,Azure Application Insights for Console Applications | Microsoft Docs,"Monitor web applications for availability, performance and usage.",application-insights,.net,mrbullwinkle,carmonm,,3b722e47-38bd-4667-9ba4-65b7006c074c,application-insights,tbd,ibiza,,conceptual,conceptual,1/30/2019,mbullwin,
asp-net-dependencies.md,app,app,app\asp-net-dependencies.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Dependencies,Dependency Tracking in Azure Application Insights | Microsoft Docs,Monitor dependency calls from your on-premises or Microsoft Azure web application with Application Insights.,application-insights,.net,mrbullwinkle,carmonm,,d15c4ca8-4c1a-47ab-a03d-c322b4bb2a9e,application-insights,tbd,ibiza,,conceptual,conceptual,6/25/2019,mbullwin,
asp-net-exceptions.md,app,app,app\asp-net-exceptions.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Exceptions,Diagnose failures and exceptions in web apps with Azure Application Insights | Microsoft Docs,Capture exceptions from ASP.NET apps along with request telemetry.,application-insights,.net,mrbullwinkle,carmonm,,d1e98390-3ce4-4d04-9351-144314a42aa2,application-insights,tbd,ibiza,,conceptual,conceptual,9/19/2017,mbullwin,
asp-net-trace-logs.md,app,app,app\asp-net-trace-logs.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Log traces,Explore .NET trace logs in Application Insights,"Search logs generated by Trace, NLog, or Log4Net.",application-insights,.net,mrbullwinkle,carmonm,,0c2a084f-6e71-467b-a6aa-4ab222f17153,application-insights,tbd,ibiza,,conceptual,conceptual,5/8/2019,mbullwin,
performance-counters.md,app,app,app\performance-counters.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Performance counters,Performance counters in Application Insights | Microsoft Docs,Monitor system and custom .NET performance counters in Application Insights.,application-insights,'',mrbullwinkle,carmonm,,5b816f4c-a77a-4674-ae36-802ee3a2f56d,application-insights,tbd,ibiza,,conceptual,conceptual,12/13/2018,mbullwin,
annotations.md,app,app,app\annotations.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Release annotations,Release annotations for Application Insights | Microsoft Docs,Add deployment or build markers to your metrics explorer charts in Application Insights.,application-insights,.net,mrbullwinkle,carmonm,,23173e33-d4f2-4528-a730-913a8fd5f02e,application-insights,tbd,ibiza,,conceptual,conceptual,5/31/2019,mbullwin,
monitor-performance-live-website-now.md,app,app,app\monitor-performance-live-website-now.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor,Monitor a live ASP.NET web app with Azure Application Insights  | Microsoft Docs,Monitor a website's performance without re-deploying it. Works with ASP.NET web apps hosted on-premises or in VMs.,application-insights,.net,mrbullwinkle,carmonm,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,5/24/2019,mbullwin,
status-monitor-v2-api-disable-monitoring.md,app,app,app\status-monitor-v2-api-disable-monitoring.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\API Disable-ApplicationInsightsMonitoring,"""Azure Status Monitor v2 API reference= Disable monitoring | Microsoft Docs""","Status Monitor v2 API reference. Disable-ApplicationInsightsMonitoring. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs, or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
status-monitor-v2-api-disable-instrumentation-engine.md,app,app,app\status-monitor-v2-api-disable-instrumentation-engine.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\API Disable-InstrumentationEngine,"""Azure Status Monitor v2 API reference= Disable instrumentation engine | Microsoft Docs""","Status Monitor v2 API reference. Disable-InstrumentationEngine. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs, or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
status-monitor-v2-api-enable-monitoring.md,app,app,app\status-monitor-v2-api-enable-monitoring.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\API Enable-ApplicationInsightsMonitoring,"""Azure Status Monitor v2 API reference= Enable monitoring | Microsoft Docs""","Status Monitor v2 API reference. Enable-ApplicationInsightsMonitoring. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs, or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
status-monitor-v2-api-enable-instrumentation-engine.md,app,app,app\status-monitor-v2-api-enable-instrumentation-engine.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\API Enable-InstrumentationEngine,"""Azure Status Monitor v2 API reference= Enable instrumentation engine | Microsoft Docs""","Status Monitor v2 API reference. Enable-InstrumentationEngine. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs, or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
status-monitor-v2-api-get-config.md,app,app,app\status-monitor-v2-api-get-config.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\API Get-ApplicationInsightsMonitoringConfig,"""Azure Status Monitor v2 API reference= Get config | Microsoft Docs""","Status Monitor v2 API reference. Get-ApplicationInsightsMonitoringConfig. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs, or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
status-monitor-v2-api-get-status.md,app,app,app\status-monitor-v2-api-get-status.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\API Get-ApplicationInsightsMonitoringStatus,"""Azure Status Monitor v2 API reference= Get status | Microsoft Docs""","Status Monitor v2 API reference. Get-ApplicationInsightsMonitoringStatus. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
status-monitor-v2-api-set-config.md,app,app,app\status-monitor-v2-api-set-config.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\API Set-ApplicationInsightsMonitoringConfig,"""Azure Status Monitor v2 API reference= Set config | Microsoft Docs""","Status Monitor v2 API reference. Set-ApplicationInsightsMonitoringConfig. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs, or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
status-monitor-v2-detailed-instructions.md,app,app,app\status-monitor-v2-detailed-instructions.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\Detailed instructions,Azure Status Monitor v2 detailed instructions | Microsoft Docs,"Detailed instructions for getting started with Status Monitor v2. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs, or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
status-monitor-v2-get-started.md,app,app,app\status-monitor-v2-get-started.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\Getting started,Azure Status Monitor v2 - getting started | Microsoft Docs,"A quickstart guide for Status Monitor v2. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs, or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
status-monitor-v2-overview.md,app,app,app\status-monitor-v2-overview.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\Overview,Azure Status Monitor v2 overview | Microsoft Docs,"An overview of Status Monitor v2. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs, or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
status-monitor-v2-troubleshoot.md,app,app,app\status-monitor-v2-troubleshoot.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Status Monitor v2\Troubleshooting and known issues,Azure Status Monitor v2 troubleshooting and known issues | Microsoft Docs,"The known issues of Status Monitor v2 and troubleshooting examples. Monitor website performance without redeploying the website. Works with ASP.NET web apps hosted on-premises, in VMs, or on Azure.",application-insights,.net,MS-TimothyMothra,alexklim,,769a5ea4-a8c6-4c18-b46c-657e864e24de,application-insights,tbd,ibiza,,conceptual,conceptual,4/23/2019,tilee,
asp-net.md,app,app,app\asp-net.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Web apps,Set up web app analytics for ASP.NET with Azure Application Insights | Microsoft Docs,"Configure performance, availability, and user behavior analytics tools for your ASP.NET website, hosted on-premises or in Azure.",application-insights,.net,mrbullwinkle,carmonm,,d0eee3c0-b328-448f-8123-f478052751db,application-insights,tbd,ibiza,,conceptual,conceptual,5/8/2019,mbullwin,
windows-desktop.md,app,app,app\windows-desktop.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET apps\Windows desktop,Monitoring usage and performance for Windows desktop apps,Analyze usage and performance of your Windows desktop app with Application Insights.,application-insights,windows,mrbullwinkle,carmonm,,19040746-3315-47e7-8c60-4b3000d2ddc4,application-insights,tbd,ibiza,,conceptual,conceptual,5/15/2018,mbullwin,
asp-net-core.md,app,app,app\asp-net-core.md,How-to guides,How-to guides\Collect data\Configure applications,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET Core,Azure Application Insights for ASP.NET Core applications | Microsoft Docs,"Monitor ASP.NET Core web applications for availability, performance, and usage.",application-insights,.net,mrbullwinkle,carmonm,,3b722e47-38bd-4667-9ba4-65b7006c074c,application-insights,tbd,ibiza,,conceptual,conceptual,5/22/2019,mbullwin,
ilogger.md,app,app,app\ilogger.md,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET Core,How-to guides,How-to guides\Collect data\Configure applications\ASP.NET Core\ILogger,Explore .NET trace logs in Azure Application Insights with ILogger,Samples of using the Azure Application Insights ILogger provider with ASP.NET Core and Console applications.,application-insights,,cijothomas,carmonm,,,application-insights,,,,conceptual,conceptual,2/19/2019,cithomas,
availability-alerts.md,app,app,app\availability-alerts.md,How-to guides,How-to guides\Collect data\Configure applications\Availability\E-mail notification,How-to guides,How-to guides\Collect data\Configure applications\Availability\E-mail notification\Availability alerts,Setup availability alerts with Azure Application Insights | Microsoft Docs,Set up web tests in Application Insights. Get alerts if a website becomes unavailable or responds slowly.,application-insights,'',lgayhardt,carmonm,,46dc13b4-eb2e-4142-a21c-94a156f760ee,application-insights,tbd,ibiza,,conceptual,conceptual,6/19/2019,lagayhar,
availability-multistep.md,app,app,app\availability-multistep.md,How-to guides,How-to guides\Collect data\Configure applications\Availability\E-mail notification,How-to guides,How-to guides\Collect data\Configure applications\Availability\E-mail notification\Multi-step tests,Monitor your web application with multi-step web tests and Azure Application Insights | Microsoft Docs,Set-up multi-step web tests to monitor your web applications with Azure Application Insights,application-insights,,mrbullwinkle,carmonm,,46dc13b4-eb2e-4142-a21c-94a156f760ee,application-insights,tbd,ibiza,,conceptual,conceptual,6/19/2019,mbullwin,
troubleshoot-availability.md,app,app,app\troubleshoot-availability.md,How-to guides,How-to guides\Collect data\Configure applications\Availability\E-mail notification,How-to guides,How-to guides\Collect data\Configure applications\Availability\E-mail notification\Troubleshooting,Troubleshoot your Azure Application Insights availability tests | Microsoft Docs,Troubleshoot web tests in Azure Application Insights. Get alerts if a website becomes unavailable or responds slowly.,application-insights,'',lgayhardt,carmonm,,46dc13b4-eb2e-4142-a21c-94a156f760ee,application-insights,tbd,ibiza,,conceptual,conceptual,6/19/2019,lagayhar,
monitor-web-app-availability.md,app,app,app\monitor-web-app-availability.md,How-to guides,How-to guides\Collect data\Configure applications\Availability\E-mail notification,How-to guides,How-to guides\Collect data\Configure applications\Availability\E-mail notification\URL tests,Monitor availability and responsiveness of any web site | Microsoft Docs,Set up web tests in Application Insights. Get alerts if a website becomes unavailable or responds slowly.,application-insights,,mrbullwinkle,carmonm,,46dc13b4-eb2e-4142-a21c-94a156f760ee,application-insights,tbd,ibiza,,conceptual,conceptual,6/19/2019,mbullwin,
continuous-monitoring.md,app,app,app\continuous-monitoring.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Add continuous monitoring,Continuous Monitoring of your DevOps release pipeline with Azure DevOps and Azure Application Insights  | Microsoft Docs,Provides instructions to quickly setup continuous monitoring with Application Insights,application-insights,,mrbullwinkle,carmonm,,,application-insights,,,,conceptual,conceptual,11/13/2017,mbullwin,
azure-web-apps.md,app,app,app\azure-web-apps.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Azure app service,Monitor Azure app services performance | Microsoft Docs,"Application performance monitoring for Azure app services. Chart load and response time, dependency information, and set alerts on performance.",application-insights,.net,mrbullwinkle,carmonm,,,application-insights,,,,conceptual,conceptual,4/26/2019,mbullwin,
cloudservices.md,app,app,app\cloudservices.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Azure Cloud Services,Application Insights for Azure cloud services | Microsoft Docs,Monitor your web and worker roles effectively with Application Insights,application-insights,'',mrbullwinkle,carmonm,,5c7a5b34-329e-42b7-9330-9dcbb9ff1f88,application-insights,tbd,ibiza,,conceptual,conceptual,9/5/2018,mbullwin,
profiler-servicefabric.md,app,app,app\profiler-servicefabric.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler\Enable Profiler for a Service Fabric Application,Profile live Azure Service Fabric applications with Application Insights | Microsoft Docs,Enable Profiler for a Service Fabric application,application-insights,'',cweining,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,8/6/2018,cweining,
profiler.md,app,app,app\profiler.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler\Enable Profiler for an App Service,Profile live Azure App Service apps with Application Insights | Microsoft Docs,Profile live apps on Azure App Service with Application Insights Profiler.,application-insights,'',cweining,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,8/6/2018,cweining,
profiler-vm.md,app,app,app\profiler-vm.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler\Enable Profiler for an Azure VM,Profile web apps running on an Azure VM by using Application Insights Profiler | Microsoft Docs,Profile web apps on an Azure VM by using Application Insights Profiler.,application-insights,'',cweining,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,8/6/2018,cweining,
profiler-cloudservice.md,app,app,app\profiler-cloudservice.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler\Enable the Profiler for a Cloud Service,Profile live Azure Cloud Services with Application Insights | Microsoft Docs,Enable Application Insights Profiler for Azure Cloud Services.,application-insights,'',cweining,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,8/6/2018,cweining,
profiler-overview.md,app,app,app\profiler-overview.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler\Overview,Profile production applications in Azure with Application Insights Profiler | Microsoft Docs,Identify the hot path in your web server code with a low-footprint profiler.,application-insights,'',cweining,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,8/6/2018,cweining,
profiler-aspnetcore-linux.md,app,app,app\profiler-aspnetcore-linux.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler\Profiler for Linux App services (preview),Profile ASP.NET Core Azure Linux web apps with Application Insights Profiler | Microsoft Docs,A conceptual overview and step-by-step tutorial on how to use Application Insights Profiler.,application-insights,'',cweining,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,2/23/2018,cweining,
profiler-settings.md,app,app,app\profiler-settings.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler\Profiler Settings,Use the Azure Application Insights Profiler settings pane | Microsoft Docs,See Profiler status and start profiling sessions,application-insights,'',cweining,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,8/6/2018,cweining,
profiler-troubleshooting.md,app,app,app\profiler-troubleshooting.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler\Profiler Troubleshooting,Troubleshoot problems with Azure Application Insights Profiler | Microsoft Docs,This article presents troubleshooting steps and information to help developers who are having trouble enabling or using Application Insights Profiler.,application-insights,'',cweining,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,8/6/2018,cweining,
profiler-trackrequests.md,app,app,app\profiler-trackrequests.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Profiler\Track Requests for Profiling,Write code to track requests with Azure Application Insights | Microsoft Docs,Write code to track requests with Application Insights so you can get profiles for your requests.,application-insights,'',cweining,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,8/6/2018,cweining,
snapshot-debugger-appservice.md,app,app,app\snapshot-debugger-appservice.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Snapshot Debugger,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Snapshot Debugger\Enable Snapshot Debugger for an App Service,Enable Snapshot Debugger for .NET apps in Azure App Service | Microsoft Docs,Enable Snapshot Debugger for .NET apps in Azure App Service,application-insights,'',brahmnes,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,3/7/2019,brahmnes,
snapshot-debugger-vm.md,app,app,app\snapshot-debugger-vm.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Snapshot Debugger,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Snapshot Debugger\Enable Snapshot Debugger for other environments,"Enable Snapshot Debugger for .NET apps in Azure Service Fabric, Cloud Service, and Virtual Machines | Microsoft Docs","Enable Snapshot Debugger for .NET apps in Azure Service Fabric, Cloud Service, and Virtual Machines",application-insights,'',brahmnes,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,3/7/2019,brahmnes,
snapshot-debugger.md,app,app,app\snapshot-debugger.md,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Snapshot Debugger,How-to guides,How-to guides\Collect data\Configure applications\Azure apps\Snapshot Debugger\Overview,Azure Application Insights Snapshot Debugger for .NET apps | Microsoft Docs,Debug snapshots are automatically collected when exceptions are thrown in production .NET apps,application-insights,'',mrbullwinkle,carmonm,,,application-insights,tbd,ibiza,,conceptual,conceptual,3/7/2019,mbullwin,
