CreatedAt,Assignee,Url,Title,Content
4/24/2020 18:38,bwren,https://github.com/MicrosoftDocs/azure-docs/issues/53276,Clarification on Linux OMS multi-homing option available in v 1.12.25,[articles/azure-monitor/platform/agent-manage.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/agent-manage.md)
4/24/2020 9:45,KrishnaG-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/53224,No Verbose event level,[articles/azure-monitor/platform/activity-log-alerts.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/activity-log-alerts.md)
4/24/2020 8:34,KrishnaG-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/53217,Differentiate between Azure Red Hat OpenShift 3.11 and 4.3,[articles/azure-monitor/insights/container-insights-prometheus-integration.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/container-insights-prometheus-integration.md)
4/23/2020 17:47,BharathNimmala-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/53165,missing detail or mistake?,[articles/azure-monitor/platform/manage-cost-storage.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/manage-cost-storage.md)
4/23/2020 12:51,KrishnaG-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/53141,I suggest adding a Note box on this page that Custom Metrics are not available in all regions,[articles/azure-monitor/platform/collect-custom-metrics-linux-telegraf.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/collect-custom-metrics-linux-telegraf.md)
4/23/2020 11:32,KrishnaG-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/53136,Need Clarification on RHEL 8+,[articles/azure-monitor/platform/log-analytics-agent.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/log-analytics-agent.md)
4/23/2020 11:18,SwathiDhanwada-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/53135,MakeSet operator - Only 127 records ,[articles/azure-monitor/log-query/advanced-aggregations.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/log-query/advanced-aggregations.md)
4/22/2020 18:57,mrbullwinkle,https://github.com/MicrosoftDocs/azure-docs/issues/53074,azure monitor data Retention/privacy/security pages should probably also have something about being read only and how to use purge?,[articles/azure-monitor/app/data-retention-privacy.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/data-retention-privacy.md)
4/22/2020 17:45,bwren,https://github.com/MicrosoftDocs/azure-docs/issues/53064,Setting up LA workspace - docs inconsistent,[articles/azure-monitor/insights/vminsights-enable-overview.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/vminsights-enable-overview.md)
4/22/2020 17:30,mrbullwinkle,https://github.com/MicrosoftDocs/azure-docs/issues/53063,Clarify about Hosted Service inside Asp.Net Core Application,[articles/azure-monitor/app/worker-service.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/worker-service.md)
