service,folder,file,type,link,media name,mediafolder,folder match
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-log.md , Article  , monitor-alerts-unified-log-webhook.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-log.md , Article  , ../operations-management-suite/operations-management-suite-solutions-resources-searches-alerts.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-log.md , Article  , ../azure-resource-manager/resource-group-template-deploy-portal.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-log.md , Article  , ../log-analytics/log-analytics-api-alerts.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-log.md , Article  , monitor-alerts-unified-log.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-log.md , Article  , monitor-alerts-unified-log-webhook.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-log.md , Article  , ../application-insights/app-insights-analytics.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-log.md , Article  , ../log-analytics/log-analytics-overview.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric.md , Article  , monitoring-enable-alerts-using-template.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric.md , Article  , alert-metric-overview.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric.md , Article  , monitoring-near-real-time-metric-alerts.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric.md , Article  , alert-metric-overview.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric.md , Article  , monitoring-enable-alerts-using-template.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric.md , Article  , alert-metric-overview.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric.md , Article  , monitoring-near-real-time-metric-alerts.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric-classic.md , Article  , alert-metric-overview.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric-classic.md , Article  , monitoring-enable-alerts-using-template.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric-classic.md , Article  , insights-webhooks-alerts.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric-overview.md , Article  , monitoring-metric-alerts-logs.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric-overview.md , Article  , monitoring-create-metric-alerts-with-templates.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric-overview.md , Article  , monitoring-near-real-time-metric-alerts.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric-overview.md , Article  , alert-metric.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric-overview.md , Article  , monitoring-create-metric-alerts-with-templates.md,,,
monitoring-and-diagnostics ,C:\Users\bwren\Git\azure-docs-pr\articles\monitoring-and-diagnostics , alert-metric-overview.md , Article  , monitoring-action-groups.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , app-expression.md , Article  , workspace-expression.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , app-expression.md , Article  , workspace-expression.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , app-expression.md , Article  , ../../log-analytics/log-analytics-log-search.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , app-insights-proactive-diagnostics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , app-insights-resources-roles-access-control.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , ../monitoring-and-diagnostics/insights-webhooks-alerts.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , app-insights-proactive-failure-diagnostics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , app-insights-asp-net-exceptions.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , app-insights-proactive-failure-diagnostics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , app-insights-powershell-alerts.md,,,
