"Azure Monitor Documentation","Azure Monitor Documentation","","Azure Monitor Documentation","index.yml","","index.yml"
"Concepts","Concepts\Respond to incidents\Change analysis","Concepts\Respond to incidents\","Change analysis","app/change-analysis.md ","platform/","app/change-analysis.md"
"Concepts","Concepts\Visualize data","Concepts\","Visualize data","visualizations.md","","visualizations.md"
"Concepts","Concepts\Partner integrations","Concepts\","Partner integrations","platform/partners.md","platform/","partners.md"
"Concepts","Concepts\OMS portal transition\Overview","Concepts\OMS portal transition\","Overview","platform/oms-portal-transition.md","platform/","oms-portal-transition.md"
"Concepts","Concepts\OMS portal transition\Common questions","Concepts\OMS portal transition\","Common questions","platform/oms-portal-faq.md","platform/","oms-portal-faq.md"
"Concepts","Concepts\FAQ\Log Analytics","Concepts\FAQ\","Log Analytics","platform/log-faq.md","platform/","log-faq.md"
"How-to guides","How-to guides\Manage Azure Monitor\Roles permissions and security","How-to guides\Manage Azure Monitor\","Roles permissions and security","platform/roles-permissions-security.md","platform/","roles-permissions-security.md"
"How-to guides","How-to guides\Manage Azure Monitor\IP addresses","How-to guides\Manage Azure Monitor\","IP addresses","app/ip-addresses.md","app/","ip-addresses.md"
"How-to guides","How-to guides\Manage Azure Monitor\Log Analytics workspaces\Create a workspace\Use Azure portal","How-to guides\Manage Azure Monitor\Log Analytics workspaces\Create a workspace\","Use Azure portal","learn/quick-create-workspace.md ","app/","learn/quick-create-workspace.md"
"How-to guides","How-to guides\Manage Azure Monitor\Log Analytics workspaces\Create a workspace\Use Azure CLI","How-to guides\Manage Azure Monitor\Log Analytics workspaces\Create a workspace\","Use Azure CLI","learn/quick-create-workspace-cli.md","learn/","quick-create-workspace-cli.md"
"How-to guides","How-to guides\Manage Azure Monitor\Log Analytics workspaces\Create a workspace\Use Azure PowerShell","How-to guides\Manage Azure Monitor\Log Analytics workspaces\Create a workspace\","Use Azure PowerShell","learn/quick-create-workspace-posh.md","learn/","quick-create-workspace-posh.md"
"How-to guides","How-to guides\Manage Azure Monitor\Log Analytics workspaces\Delete a workspace","How-to guides\Manage Azure Monitor\Log Analytics workspaces\","Delete a workspace","platform/delete-workspace.md","platform/","delete-workspace.md"
"How-to guides","How-to guides\Manage Azure Monitor\Log Analytics workspaces\Design for service providers","How-to guides\Manage Azure Monitor\Log Analytics workspaces\","Design for service providers","platform/service-providers.md","platform/","service-providers.md"
"How-to guides","How-to guides\Manage Azure Monitor\Log Analytics workspaces\Manage access","How-to guides\Manage Azure Monitor\Log Analytics workspaces\","Manage access","platform/manage-access.md","platform/","manage-access.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Activity log\Overview","How-to guides\Monitor resources\Monitor Azure resources\Activity log\","Overview","platform/activity-logs-overview.md","platform/","activity-logs-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Activity log\View and retrieve","How-to guides\Monitor resources\Monitor Azure resources\Activity log\","View and retrieve","platform/activity-log-view.md","platform/","activity-log-view.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Activity log\Collect and analyze","How-to guides\Monitor resources\Monitor Azure resources\Activity log\","Collect and analyze","platform/activity-log-collect.md","platform/","activity-log-collect.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Activity log\Collect across tenants","How-to guides\Monitor resources\Monitor Azure resources\Activity log\","Collect across tenants","platform/activity-log-collect-tenants.md","platform/","activity-log-collect-tenants.md"
