"CreatedAt","Assignee","Url","Title","Service","Content"
"6/18/2020 4:18:31 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/57323","Default syslog configuration file does not contain any facilities","azure-monitor","[articles/azure-monitor/platform/data-sources-syslog.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/data-sources-syslog.md)"
"6/18/2020 12:36:04 AM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57312","Missing Settings","azure-monitor","[articles/azure-monitor/platform/agent-windows.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/agent-windows.md)"
"6/17/2020 5:47:16 PM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57272","Loss of traces in AI when AdaptiveSampling was disabled in ASP.NET Core","azure-monitor","[articles/azure-monitor/app/sampling.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/sampling.md)"
"6/17/2020 12:48:16 PM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57247","Alert is fired twice: first time with ""fired"", other on ""resolved"" monitorCondition","azure-monitor","[articles/azure-monitor/platform/alerts-troubleshoot.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/alerts-troubleshoot.md)"
"6/16/2020 8:45:22 PM","femsulu","https://github.com/MicrosoftDocs/azure-docs/issues/57192","resourceId description incorrect","azure-monitor","[articles/azure-monitor/platform/alerts-metric-logs.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/alerts-metric-logs.md)"
"6/16/2020 4:57:36 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57172","Document instructions to create action group is not sync with Portal UI","azure-monitor","[articles/azure-monitor/platform/action-groups.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/action-groups.md)"
"6/16/2020 12:14:46 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57148","ARR Affinity - Auto-scaling","azure-monitor","[articles/azure-monitor/platform/autoscale-get-started.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/autoscale-get-started.md)"
"6/16/2020 8:22:16 AM","BhargaviAnnadevara-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57139","Storing IP address data from Azure Portal is not working","azure-monitor","[articles/azure-monitor/app/ip-collection.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/ip-collection.md)"
"6/15/2020 5:16:20 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/57100","Instructions for setting up client-side javascript","azure-monitor","[articles/azure-monitor/app/asp-net.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net.md)"
"6/15/2020 12:05:24 AM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57052","no data in custom event log","azure-monitor","[articles/azure-monitor/platform/data-collector-api.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/data-collector-api.md)"
